auction.closing_timeslot,auction.id,auction.num_closing_timeslot_other_auctions,auction.num_closing_timeslot_category_other_auctions,auction.num_closing_timeslot_subcategory_other_auctions
1098.0,37599.0,0.0,{},{}
1099.0,37599.0,0.0,{},{}
1100.0,37599.0,0.0,{},{}
1101.0,37599.0,0.0,{},{}
1102.0,37599.0,0.0,{},{}
1103.0,37599.0,0.0,{},{}
1104.0,37599.0,0.0,{},{}
655.0,38138.0,0.0,{},{}
656.0,38138.0,0.0,{},{}
657.0,38138.0,0.0,{},{}
658.0,38138.0,92.0,{},{}
659.0,38138.0,74.0,{},{}
660.0,38138.0,66.0,{},{}
661.0,38138.0,53.0,{},{}
662.0,38138.0,54.0,{},{}
663.0,38138.0,144.0,{},{}
664.0,38138.0,1344.0,{},{}
665.0,38138.0,671.0,{},{}
666.0,38138.0,283.0,{},{}
667.0,38138.0,163.0,{'Sieraden': 4},"{'Hangers': 0, 'Oorsieraden': 0, 'Ringen': 0, 'Ketting': 0, 'Armband': 4}"
668.0,38138.0,601.0,"{'Sieraden': 2, 'Horloges': 70}","{'Hangers': 0, 'Oorsieraden': 0, 'Ringen': 1, 'Ketting': 0, 'Armband': 1, 'Broches': 0, 'IWC': 0, 'Rolex': 0, 'Horloge Dames': 12}"
669.0,38138.0,204.0,{'Sieraden': 1},"{'Hangers': 0, 'Oorsieraden': 0, 'Ringen': 1, 'Ketting': 0, 'Armband': 0}"
670.0,38138.0,137.0,{},{}
671.0,38138.0,100.0,{},{}
697.0,38218.0,66.0,{},{}
698.0,38218.0,0.0,{},{}
699.0,38218.0,0.0,{},{}
700.0,38218.0,0.0,{},{}
701.0,38218.0,0.0,{},{}
702.0,38218.0,0.0,{},{}
703.0,38218.0,0.0,{},{}
704.0,38218.0,0.0,{},{}
705.0,38218.0,0.0,{},{}
706.0,38218.0,0.0,{},{}
707.0,38218.0,53.0,{},{}
708.0,38218.0,66.0,{},{}
709.0,38218.0,384.0,{'Sieraden': 0},"{'Broches': 0, 'Armband': 0, 'Ketting': 0, 'Oorsieraden': 0}"
710.0,38218.0,106.0,{'Sieraden': 1},"{'Broches': 0, 'Armband': 1, 'Ketting': 0, 'Sieradensets': 0, 'Oorsieraden': 0, 'Ringen': 0, 'Hangers': 0}"
711.0,38218.0,56.0,{'Sieraden': 4},"{'Broches': 0, 'Armband': 2, 'Ketting': 0, 'Oorsieraden': 0, 'Ringen': 2, 'Hangers': 0, 'Gebruiksvoorwerpen': 0}"
712.0,38218.0,258.0,{},{}
713.0,38218.0,19.0,{},{}
714.0,38218.0,397.0,{},{}
715.0,38218.0,586.0,{},{}
716.0,38218.0,604.0,{},{}
717.0,38218.0,406.0,{},{}
718.0,38218.0,244.0,{},{}
719.0,38218.0,132.0,{},{}
875.0,38219.0,39.0,{'Sieraden': 0},"{'Sieradensets': 0, 'Ketting': 0, 'Oorsieraden': 0, 'Broches': 0, 'Hangers': 0, 'Ringen': 0, 'Armband': 0}"
876.0,38219.0,63.0,{'Sieraden': 1},"{'Sieradensets': 0, 'Ketting': 0, 'Oorsieraden': 0, 'Broches': 0, 'Hangers': 0, 'Ringen': 0, 'Armband': 1}"
877.0,38219.0,89.0,{'Sieraden': 2},"{'Ketting': 0, 'Oorsieraden': 0, 'Broches': 0, 'Ringen': 1}"
878.0,38219.0,57.0,{},{}
879.0,38219.0,34.0,{},{}
880.0,38219.0,388.0,{},{}
881.0,38219.0,137.0,{},{}
882.0,38219.0,563.0,{},{}
883.0,38219.0,279.0,{},{}
884.0,38219.0,547.0,{},{}
885.0,38219.0,169.0,{},{}
886.0,38219.0,154.0,{},{}
887.0,38219.0,76.0,{},{}
583.0,39647.0,0.0,{},{}
583.0,39647.0,0.0,{},{}
584.0,39647.0,0.0,{},{}
585.0,39647.0,0.0,{},{}
586.0,39647.0,0.0,{},{}
587.0,39647.0,40.0,{},{}
588.0,39647.0,95.0,{},{}
589.0,39647.0,167.0,{},{}
590.0,39647.0,89.0,{},{}
591.0,39647.0,50.0,{},{}
592.0,39647.0,336.0,{},{}
593.0,39647.0,39.0,{},{}
594.0,39647.0,184.0,{'Collectibles': 0},"{'Briefgeld': 0, 'Munten': 0, 'Postzegels': 0, 'Enveloppen': 0}"
595.0,39647.0,1115.0,{'Collectibles': 2},"{'Briefgeld': 0, 'Munten': 0, 'Postzegels': 0, 'Enveloppen': 0}"
596.0,39647.0,904.0,{},{}
597.0,39647.0,299.0,{},{}
598.0,39647.0,233.0,{},{}
599.0,39647.0,99.0,{},{}
583.0,40620.0,0.0,{},{}
584.0,40620.0,0.0,{},{}
585.0,40620.0,0.0,{},{}
586.0,40620.0,0.0,{},{}
587.0,40620.0,40.0,{},{}
588.0,40620.0,95.0,{},{}
589.0,40620.0,167.0,{},{}
590.0,40620.0,89.0,{},{}
591.0,40620.0,50.0,{},{}
592.0,40620.0,336.0,{},{}
593.0,40620.0,39.0,{},{}
594.0,40620.0,273.0,{},{}
595.0,40620.0,1167.0,"{'Keukens': 0, 'Keukenapparatuur': 27, 'Keukeninrichting': 24}","{'Parallelkeukens': 0, 'Hoekkeukens': 0, 'Eiland opstelling': 0, 'Rechte keukens': 0, 'U-keukens': 0, 'Kookplaten': 2, 'Ovens': 1, 'Afzuigkappen': 0, 'Fornuizen': 0, 'Vriezers': 1, 'Magnetrons': 0, 'Kranen': 16}"
596.0,40620.0,892.0,"{'Keukens': 0, 'Keukenapparatuur': 6, 'Keukeninrichting': 8}","{'Hoekkeukens': 0, 'Eiland opstelling': 0, 'Rechte keukens': 0, 'Kookplaten': 0, 'Koelkasten': 2, 'Vaatwassers': 0, 'Kranen': 1}"
597.0,40620.0,299.0,{},{}
598.0,40620.0,233.0,{},{}
599.0,40620.0,99.0,{},{}
631.0,41567.0,0.0,{},{}
632.0,41567.0,0.0,{},{}
633.0,41567.0,0.0,{},{}
634.0,41567.0,48.0,{},{}
635.0,41567.0,47.0,{},{}
636.0,41567.0,56.0,{},{}
637.0,41567.0,75.0,{},{}
638.0,41567.0,65.0,{},{}
639.0,41567.0,57.0,{},{}
640.0,41567.0,478.0,{},{}
641.0,41567.0,261.0,{},{}
642.0,41567.0,252.0,{},{}
643.0,41567.0,149.0,"{'Accu-/ elektrisch gereedschap': 3, 'Handgereedschap': 0, 'Bouwplaatsinrichting': 0, 'IJzerwaren': 2, 'Metaalindustrie': 0, 'Bestrating gereedschap en machines': 0, 'Transport & logistiek': 0, 'Groenvoorziening': 0}","{'Zaagmachines, geleiders en toebehoren': 0, 'Overige machines': 1, ""Laders & Accu's"": 0, 'Meetinstrumenten': 1, 'Boor-hak-breekhamers': 0, 'Accuschroef-/boormachines': 0, 'Decoupeerzagen': 0, 'Toebehoren': 0, 'Cirkelzagen': 0, 'Schuurmachines': 0, 'Slijpmachines': 0, 'Slagmoergereedschap': 0, 'Freesmachines': 0, 'Schaafmachines': 0, 'Stof-nat-droogzuigers': 1, 'Timmergereedschap': 0, 'Boren': 0, 'Sleutels- en doppendozen': 0, 'Schroevendraaiers': 0, 'Meet- en aftekengereedschap': 0, 'Accessoires': 9, 'Gereedschapwagens en kisten': 0, 'Hulpgereedschap': 0, 'Overige gereedschap': 0, 'Verlichting': 1, 'Bevestigingsmateriaal': 1, 'Pons- en knipmachines': 0, 'Zagen': 0, 'Span-/hijsmateriaal': 0, 'Grasmaaiers': 0}"
644.0,41567.0,125.0,"{'Accu-/ elektrisch gereedschap': 2, 'Handgereedschap': 6, 'Bestrating gereedschap en machines': 0, 'Groenvoorziening': 1, 'Fietsaccessoires en kleding': 0}","{'Zaagmachines, geleiders en toebehoren': 0, 'Overige machines': 0, ""Laders & Accu's"": 0, 'Boor-hak-breekhamers': 0, 'Accuschroef-/boormachines': 1, 'Decoupeerzagen': 0, 'Toebehoren': 0, 'Cirkelzagen': 0, 'Schuurmachines': 0, 'Slijpmachines': 1, 'Slagmoergereedschap': 0, 'Freesmachines': 0, 'Stof-nat-droogzuigers': 0, 'Boren': 0, 'Sleutels- en doppendozen': 2, 'Schroevendraaiers': 0, 'Meet- en aftekengereedschap': 0, 'Accessoires': 3, 'Gereedschapwagens en kisten': 0, 'Hulpgereedschap': 0, 'Zagen': 0, 'Bladblazer': 0, 'Fietsgereedschap': 0}"
645.0,41567.0,98.0,"{'Accu-/ elektrisch gereedschap': 0, 'Handgereedschap': 3, 'Bouwplaatsinrichting': 0, 'Transport & logistiek': 0}","{'Overige machines': 0, ""Laders & Accu's"": 0, 'Accuschroef-/boormachines': 0, 'Decoupeerzagen': 0, 'Toebehoren': 0, 'Slagmoergereedschap': 0, 'Timmergereedschap': 0, 'Boren': 1, 'Schroevendraaiers': 0, 'Meet- en aftekengereedschap': 0, 'Accessoires': 3, 'Gereedschapwagens en kisten': 1, 'Verlichting': 8, 'Span-/hijsmateriaal': 0}"
646.0,41567.0,89.0,"{'Accu-/ elektrisch gereedschap': 3, 'Handgereedschap': 3}","{'Zaagmachines, geleiders en toebehoren': 0, 'Overige machines': 0, ""Laders & Accu's"": 0, 'Meetinstrumenten': 1, 'Boor-hak-breekhamers': 0, 'Accuschroef-/boormachines': 0, 'Toebehoren': 0, 'Cirkelzagen': 0, 'Slijpmachines': 0, 'Slagmoergereedschap': 0, 'Hulpgereedschap': 0}"
647.0,41567.0,79.0,"{'Accu-/ elektrisch gereedschap': 1, 'Handgereedschap': 2}","{'Zaagmachines, geleiders en toebehoren': 0, 'Overige machines': 0, ""Laders & Accu's"": 0, 'Accuschroef-/boormachines': 0, 'Toebehoren': 0, 'Boren': 1, 'Schroevendraaiers': 0}"
648.0,41567.0,242.0,"{'Accu-/ elektrisch gereedschap': 0, 'Handgereedschap': 0, 'Bouwplaatsinrichting': 0, 'IJzerwaren': 0, 'Metaalindustrie': 0, 'Bestrating gereedschap en machines': 0, 'Transport & logistiek': 0, 'Groenvoorziening': 0, 'Houtindustrie': 0}","{'Zaagmachines, geleiders en toebehoren': 0, 'Overige machines': 0, ""Laders & Accu's"": 0, 'Meetinstrumenten': 0, 'Boor-hak-breekhamers': 0, 'Accuschroef-/boormachines': 0, 'Decoupeerzagen': 0, 'Toebehoren': 0, 'Cirkelzagen': 0, 'Schuurmachines': 0, 'Slijpmachines': 0, 'Slagmoergereedschap': 0, 'Freesmachines': 0, 'Schaafmachines': 0, 'Stof-nat-droogzuigers': 0, 'Boren': 0, 'Sleutels- en doppendozen': 0, 'Schroevendraaiers': 0, 'Accessoires': 0, 'Gereedschapwagens en kisten': 0, 'Hulpgereedschap': 0, 'Overige gereedschap': 0, 'Verlichting': 1, 'Bevestigingsmateriaal': 0, 'Pons- en knipmachines': 0, 'Zagen': 0, 'Span-/hijsmateriaal': 0, 'Grasmaaiers': 0, 'Bladblazer': 0, 'Schaven': 0}"
649.0,41567.0,158.0,"{'Accu-/ elektrisch gereedschap': 0, 'Handgereedschap': 0, 'Bouwplaatsinrichting': 0, 'IJzerwaren': 0, 'Bestrating gereedschap en machines': 0, 'Transport & logistiek': 0, 'Groenvoorziening': 0, 'Houtindustrie': 0}","{'Zaagmachines, geleiders en toebehoren': 0, 'Overige machines': 0, ""Laders & Accu's"": 0, 'Boor-hak-breekhamers': 0, 'Accuschroef-/boormachines': 0, 'Decoupeerzagen': 0, 'Toebehoren': 0, 'Cirkelzagen': 0, 'Schuurmachines': 0, 'Slijpmachines': 0, 'Slagmoergereedschap': 0, 'Freesmachines': 0, 'Schaafmachines': 0, 'Stof-nat-droogzuigers': 0, 'Timmergereedschap': 0, 'Boren': 0, 'Sleutels- en doppendozen': 0, 'Schroevendraaiers': 0, 'Meet- en aftekengereedschap': 0, 'Accessoires': 0, 'Gereedschapwagens en kisten': 0, 'Verlichting': 0, 'Bevestigingsmateriaal': 0, 'Zagen': 0, 'Span-/hijsmateriaal': 0, 'Grasmaaiers': 0, 'Bladblazer': 0, 'Schaven': 0}"
650.0,41567.0,41.0,{},{}
651.0,41567.0,0.0,{},{}
652.0,41567.0,0.0,{},{}
653.0,41567.0,0.0,{},{}
654.0,41567.0,0.0,{},{}
655.0,41567.0,0.0,{},{}
656.0,41567.0,0.0,{},{}
657.0,41567.0,0.0,{},{}
658.0,41567.0,92.0,{},{}
659.0,41567.0,74.0,{},{}
660.0,41567.0,66.0,{},{}
661.0,41567.0,53.0,{},{}
662.0,41567.0,54.0,{},{}
663.0,41567.0,144.0,{},{}
664.0,41567.0,1344.0,{},{}
665.0,41567.0,671.0,{},{}
666.0,41567.0,283.0,{},{}
667.0,41567.0,184.0,{},{}
668.0,41567.0,654.0,{},{}
669.0,41567.0,210.0,{},{}
670.0,41567.0,137.0,{},{}
671.0,41567.0,100.0,{},{}
560.0,41752.0,0.0,{},{}
561.0,41752.0,0.0,{},{}
562.0,41752.0,0.0,{},{}
563.0,41752.0,0.0,{},{}
564.0,41752.0,0.0,{},{}
565.0,41752.0,0.0,{},{}
566.0,41752.0,0.0,{},{}
567.0,41752.0,0.0,{},{}
568.0,41752.0,0.0,{},{}
569.0,41752.0,0.0,{},{}
570.0,41752.0,0.0,{},{}
571.0,41752.0,0.0,{},{}
572.0,41752.0,0.0,{},{}
573.0,41752.0,0.0,{},{}
574.0,41752.0,0.0,{},{}
575.0,41752.0,0.0,{},{}
576.0,41752.0,0.0,{},{}
577.0,41752.0,0.0,{},{}
578.0,41752.0,0.0,{},{}
579.0,41752.0,0.0,{},{}
580.0,41752.0,0.0,{},{}
581.0,41752.0,0.0,{},{}
582.0,41752.0,0.0,{},{}
583.0,41752.0,0.0,{},{}
583.0,41752.0,0.0,{},{}
584.0,41752.0,0.0,{},{}
585.0,41752.0,0.0,{},{}
586.0,41752.0,0.0,{},{}
587.0,41752.0,40.0,{},{}
588.0,41752.0,95.0,{},{}
589.0,41752.0,167.0,{},{}
590.0,41752.0,89.0,{},{}
591.0,41752.0,50.0,{},{}
592.0,41752.0,336.0,{},{}
593.0,41752.0,39.0,{},{}
594.0,41752.0,273.0,{},{}
595.0,41752.0,1218.0,{},{}
596.0,41752.0,904.0,{},{}
597.0,41752.0,299.0,{},{}
598.0,41752.0,233.0,{},{}
599.0,41752.0,99.0,{},{}
750.0,42504.0,0.0,{},{}
751.0,42504.0,0.0,{},{}
752.0,42504.0,0.0,{},{}
753.0,42504.0,0.0,{},{}
754.0,42504.0,0.0,{},{}
755.0,42504.0,49.0,{},{}
756.0,42504.0,47.0,{},{}
757.0,42504.0,47.0,{},{}
758.0,42504.0,47.0,{},{}
759.0,42504.0,52.0,{},{}
760.0,42504.0,277.0,{},{}
761.0,42504.0,128.0,{},{}
762.0,42504.0,807.0,"{'Televisie en audio': 0, 'Professioneel Licht en Geluid': 0, 'Foto en video': 0, 'Muziek': 0, 'Woninginrichting': 5, 'Kantoorinrichting': 1, 'Partijen': 17, ""Auto's (bedrijf)"": 0, 'Aanhangwagens': 1, 'Bouwplaatsinrichting': 4, 'Agrarisch': 1, 'Kamperen': 0, 'Evenementen': 0, 'Horeca-inventaris': 2, 'Handgereedschap': 38, 'Tuin en terras': 0, 'Medisch en laboratorium': 0, 'Sport en vrije tijd': 54}","{'Accessoires': 52, 'Cases & materialen': 0, 'Kabels & connectoren': 0, 'Speakers': 0, 'Accessoires foto en video': 0, 'Versterkers': 0, 'Toetsinstrumenten': 0, 'Stoelen': 0, 'Fauteuils': 0, 'Garderobe en wachtkamer': 0, 'Professioneel Licht en Geluid': 0, 'Renault': 0, 'SRV': 0, 'Verkoopwagen': 0, 'Enkelassige': 0, 'Bouwketen en schaftketen': 0, 'Tractoren': 0, 'Caravans': 0, 'Partytenten': 0, 'Meubilair en inrichting': 0, 'Hulpgereedschap': 1, 'Overige gereedschap': 7, 'Planten- en bloembakken': 0, 'Tuinmeubilair': 0, 'Materiaal': 0, 'Schilderen': 0, 'Speeltafels': 0, 'Balsport': 2}"
763.0,42504.0,1137.0,"{'Televisie en audio': 8, 'Foto en video': 10, 'Muziek': 0, 'Kantoorinrichting': 4, 'Horeca-inventaris': 0, 'Sport en vrije tijd': 60}","{'Accessoires': 34, 'Accessoires foto en video': 2, 'Versterkers': 0, 'Stoelen': 1, 'Garderobe en wachtkamer': 0, 'Meubilair en inrichting': 0, 'Speeltafels': 0}"
764.0,42504.0,662.0,{},{}
765.0,42504.0,270.0,{},{}
766.0,42504.0,194.0,{},{}
767.0,42504.0,122.0,{},{}
1015.0,42654.0,0.0,{},{}
1016.0,42654.0,0.0,{},{}
1017.0,42654.0,0.0,{},{}
1018.0,42654.0,0.0,{},{}
1019.0,42654.0,39.0,{},{}
1020.0,42654.0,47.0,{},{}
1021.0,42654.0,52.0,{},{}
1022.0,42654.0,42.0,{},{}
1023.0,42654.0,38.0,{},{}
1024.0,42654.0,45.0,{},{}
1025.0,42654.0,0.0,{},{}
1026.0,42654.0,303.0,{},{}
1027.0,42654.0,366.0,{'Vloeren': 0},{'Hout': 0}
1028.0,42654.0,292.0,{'Vloeren': 116},{'Hout': 0}
1029.0,42654.0,176.0,{},{}
1030.0,42654.0,146.0,{},{}
1031.0,42654.0,70.0,{},{}
607.0,42863.0,0.0,{},{}
608.0,42863.0,0.0,{},{}
609.0,42863.0,0.0,{},{}
610.0,42863.0,0.0,{},{}
611.0,42863.0,46.0,{},{}
612.0,42863.0,46.0,{},{}
613.0,42863.0,49.0,{},{}
614.0,42863.0,52.0,{},{}
615.0,42863.0,40.0,{},{}
616.0,42863.0,75.0,{},{}
617.0,42863.0,4.0,{},{}
618.0,42863.0,234.0,{},{}
619.0,42863.0,337.0,"{'Groenvoorziening': 1, 'Accu-/ elektrisch gereedschap': 3, 'Garage-equipement': 1, 'Tuin en terras': 10, 'Pneumatisch gereedschap': 0, 'Partijen': 45, 'IJzerwaren': 0, 'Bouwmaterialen': 11, 'Installatiemateriaal': 16, 'Woningdecoratie': 12, 'Kantoorinrichting': 2, 'Handgereedschap': 0, 'Vloeren': 0}","{'Snoeigereedschap': 0, 'Tackers': 0, 'Decoupeerzagen': 0, 'Boor-hak-breekhamers': 0, 'Accessoires': 9, 'Verlichting': 14, 'Tuintafels': 0, 'Hogedruk reinigers': 2, 'Bloemen en planten': 0, 'Tuinaanleg': 0, 'Tuinmeubilair': 2, 'Omheining': 0, 'Slangen en haspels': 0, 'Magazijn en werkplaats': 0, 'Sloten': 0, 'Veiligheidstechniek': 0, 'PVC': 0, 'Deuren': 5, 'Profielen': 0, 'Hardhout balken': 0, 'Isolatie': 0, 'Hardhout latten en regels': 0, 'Hardhout palen': 0, 'Hardhout planken': 0, 'Houten planken': 0, 'Houten palen': 0, 'Plaatmateriaal hout': 0, 'Steigerhout': 0, 'Houten latten en regels': 0, 'Tuinhout planken': 0, 'Houten balken': 0, 'Fittingen en koppelingen': 0, 'Sfeerverlichting': 0, 'Kantoorartikelen': 0, 'Kasten': 1, 'Draadsnijgereedschap': 0, 'Keramische tegels': 0}"
620.0,42863.0,117.0,"{'Accu-/ elektrisch gereedschap': 0, 'Tuin en terras': 0, 'Pneumatisch gereedschap': 0, 'IJzerwaren': 2, 'Keukenapparatuur': 0, 'Bouwmaterialen': 0, 'Televisie en audio': 1, 'Warmtetechniek': 1, 'Kantoorinrichting': 0, 'Vloeren': 0}","{'Reinigingsmachines': 0, 'Zaagmachines, geleiders en toebehoren': 0, 'Verlichting': 1, 'Bloemen en planten': 0, 'Omheining': 0, 'Accessoires': 3, 'Zwenk-/bokwielen': 0, 'Afzuigkappen': 0, 'Deuren': 0, 'Profielen': 0, 'Hardhout balken': 0, 'Hardhout latten en regels': 0, 'Hardhout palen': 0, 'Hardhout planken': 0, 'Houten planken': 0, 'Houten palen': 0, 'Plaatmateriaal hout': 0, 'Steigerhout': 0, 'Tuinhout planken': 0, 'Houten balken': 0, 'Boxen, soundbars en speakers': 0, 'Toebehoren': 0, 'Kasten': 0, 'Keramische tegels': 0}"
621.0,42863.0,164.0,"{'Tuin en terras': 5, 'Bouwmaterialen': 1}","{'Bloemen en planten': 0, 'Omheining': 0, 'Hardhout latten en regels': 0, 'Hardhout planken': 0, 'Houten balken': 0}"
622.0,42863.0,204.0,{},{}
623.0,42863.0,97.0,{},{}
625.0,43173.0,0.0,{},{}
626.0,43173.0,0.0,{},{}
627.0,43173.0,0.0,{},{}
628.0,43173.0,0.0,{},{}
629.0,43173.0,0.0,{},{}
630.0,43173.0,0.0,{},{}
631.0,43173.0,0.0,{},{}
632.0,43173.0,0.0,{},{}
633.0,43173.0,0.0,{},{}
634.0,43173.0,48.0,{},{}
635.0,43173.0,47.0,{},{}
636.0,43173.0,56.0,{},{}
637.0,43173.0,46.0,{'Sieraden': 2},{'Edelstenen': 0}
638.0,43173.0,43.0,{'Sieraden': 1},{'Edelstenen': 0}
639.0,43173.0,52.0,{'Sieraden': 3},{'Edelstenen': 0}
640.0,43173.0,478.0,{},{}
641.0,43173.0,261.0,{},{}
642.0,43173.0,252.0,{},{}
643.0,43173.0,378.0,{},{}
644.0,43173.0,264.0,{},{}
645.0,43173.0,124.0,{},{}
646.0,43173.0,111.0,{},{}
647.0,43173.0,88.0,{},{}
651.0,43221.0,0.0,{},{}
652.0,43221.0,0.0,{},{}
653.0,43221.0,0.0,{},{}
654.0,43221.0,0.0,{},{}
655.0,43221.0,0.0,{},{}
656.0,43221.0,0.0,{},{}
657.0,43221.0,0.0,{},{}
658.0,43221.0,92.0,{},{}
659.0,43221.0,74.0,{},{}
660.0,43221.0,66.0,{},{}
661.0,43221.0,53.0,{},{}
662.0,43221.0,54.0,{},{}
663.0,43221.0,53.0,"{'Slapen': 3, 'Woninginrichting': 2, 'Tuin en terras': 1}","{'Matrassen': 0, 'Bedtextiel': 1, 'Boxsprings': 0, 'Elektrische boxspring': 0, 'Kussens en dekbedden': 2, 'Kasten': 0, 'Bedden': 0, 'Tafels': 0, 'Dressoir': 0, 'Fauteuils': 0, 'Hockers': 0, 'Planten- en bloembakken': 0}"
664.0,43221.0,1159.0,"{'Slapen': 8, 'Woninginrichting': 9, 'Kinderen': 54}","{'Matrassen': 0, 'Bedtextiel': 0, 'Boxsprings': 0, 'Elektrische boxspring': 0, 'Kussens en dekbedden': 3, 'Kasten': 0, 'Bedden': 0, 'Tafels': 1, 'Accessoires en decoratie': 0, 'Banken': 1, 'Stoelen': 30, 'Fauteuils': 0, 'Tapijten': 2, 'TV-meubels': 0, 'Spiegels': 0, 'Slaapinrichting': 20}"
665.0,43221.0,655.0,{'Slapen': 2},"{'Matrassen': 0, 'Bedtextiel': 1, 'Boxsprings': 0, 'Elektrische boxspring': 0, 'Kasten': 0}"
666.0,43221.0,283.0,{},{}
667.0,43221.0,184.0,{},{}
668.0,43221.0,654.0,{},{}
669.0,43221.0,210.0,{},{}
670.0,43221.0,137.0,{},{}
671.0,43221.0,100.0,{},{}
988.0,43222.0,0.0,{},{}
989.0,43222.0,0.0,{},{}
990.0,43222.0,0.0,{},{}
991.0,43222.0,0.0,{},{}
992.0,43222.0,0.0,{},{}
993.0,43222.0,0.0,{},{}
994.0,43222.0,45.0,{},{}
995.0,43222.0,38.0,{},{}
996.0,43222.0,42.0,{},{}
997.0,43222.0,43.0,{},{}
998.0,43222.0,38.0,{},{}
999.0,43222.0,165.0,{},{}
1000.0,43222.0,801.0,"{'Slapen': 10, 'Woninginrichting': 38, 'Tuin en terras': 17}","{'Matrassen': 0, 'Bedtextiel': 4, 'Boxsprings': 0, 'Elektrische boxspring': 0, 'Kussens en dekbedden': 1, 'Bedden': 2, 'Kasten': 0, 'Accessoires slapen': 3, 'Stoelen': 17, 'Fauteuils': 0, 'Banken': 3, 'Opbergen': 2, 'Planten- en bloembakken': 0}"
